sentence,outlet,topic,type,Label_bias,Label_opinion,biased_words
"From the Rio Grande Valley in Texas to the Southern California coast, the Trump administration continues  separating migrant families at rates that alarm immigration attorneys and advocates, even though a federal judge barred family separations as a systemic policy.",usa-today,immigration,center,Biased,Entirely factual,['alarm']
"Track and field athletes don’t typically earn the lucrative salaries seen in the NBA, NFL, tennis or international soccer.",msnbc,sport,left,Biased,Somewhat factual but also opinionated,['lucrative']
"Cuba’s health ministry initially vowed an investigation into Paloma Dominguez Caballero’s death; last week, state media published a report essentially absolving the government of any wrongdoing, categorically stating that nothing was wrong with the vaccine Dominguez received.",breitbart,vaccines,right,Non-biased,Somewhat factual but also opinionated,['']
"In other words, the agency responsible for protecting consumers now wants to make it easier for them to get stuck in a cycle of debt they can never repay.",huffpost,student-debt,left,Biased,No agreement,['stuck']
"Even as U.S. immigration officials have pushed to deport hundreds of Iraqi Christians over the last few years, asserting in court that they are unlikely to be targeted in their homeland, another arm of the Trump administration has insisted just the opposite, saying that Christians in Iraq face terror and extortion.",alternet,immigration,left,Non-biased,Entirely factual,['']
"Although he didn’t seem to direct his comments at anyone in particular, many celebrities that consider themselves climate change activists have not adjusted their lifestyles of taking private jets to their engagements around the globe, for example, Leonardo DiCaprio, Katy Perry and Orlando Bloom all took heat in 2019 when they were among the A-listers to attend Google’s climate change conference by way of private jets and mega yachts.",fox-news,environment,right,Non-biased,Entirely factual,['']
"A Catholic priest in Rhode Island who barred state lawmakers who supported an abortion rights bill from receiving communion at his church has doubled down on his stance, saying abortion is worse than pedophilia.",msnbc,abortion,left,Biased,Entirely factual,['abortion' 'worse' 'than' 'pedophilia']
Gwyneth Paltrow’s anti-vaxxer ally comes under fire for ‘discredited pseudo-scientific claims’ about coronavirus,alternet,vaccines,left,Biased,Somewhat factual but also opinionated,['pseudo-scientific' 'anti-vaxxer' 'discredited']
"The taxpayer-funded BBC has announced that 16-year-old eco-warrior Greta Thunberg will be guest-editing the broadcaster’s flagship current affairs radio programme, the Today show.",breitbart,environment,right,Non-biased,Entirely factual,['']
"The German Federal State of Baden-Wuerttemberg is seeking damages from Volkswagen after local authorities purchased VW diesel vehicles which now face bans in cities like Stuttgart, Frankfurter Allgemeine Zeitung said on Saturday.",reuters,environment,center,Non-biased,Entirely factual,['']
"More than 100 gang members from El Salvador are among the massive wave of migrants that's poured across the border in recent months, with nearly 400 illegal immigrants nabbed trying to cross en masse last week and a group of more than 100 caught scaling a wall Monday, beleaguered border officials said.",fox-news,immigration,right,Biased,No agreement,['beleaguered' 'massive' 'wave']
Gadsby's work is a testament to how eagerly the arbiters of our culture will devour and elevate work that convincingly purports to be progressive.,federalist,vaccines,right,Biased,Expresses writer’s opinion,['elevate' 'devour']
That’s led some vaccine foes to join the protesters — whom Trump has encouraged on Twitter — in staging demonstrations in state capitals to “reopen America.”,alternet,vaccines,left,Biased,Entirely factual,['foes' 'encouraged']
"That’s why white nationalists, who are enthusiasts for the abortion of black and brown people, despise pro-lifers, as anyone reporting in good faith should know.",federalist,abortion,right,Biased,Expresses writer’s opinion,['enthusiasts' 'despise' 'pro-lifers']
"Biden was particularly critical of Trump’s visit on Monday to a historic church across from the White House, which was preceded by law enforcement authorities dispersing a crowd near the church with smoke canisters and flash grenades.",reuters,elections-2020,center,Biased,Entirely factual,['critical']
"The other witnesses at the hearing shared story after story about how Americans are struggling to pay off student loans, with many having to delay getting married, buying a home, and having children.",breitbart,student-debt,right,Non-biased,Entirely factual,['story']
French sporting goods retailer Decathlon has confirmed they will not be stocking a sports hijab after public backlash and threats of a mass boycott.,breitbart,sport,right,Non-biased,Entirely factual,['backlash']
Young women taking part in high school and college athletics across the country have had their dreams of winning dashed by the movement to allow biological male who “identify” as female to compete against them.,breitbart,sport,right,Biased,Expresses writer’s opinion,['dashed' 'identify']
"Australian sports stars, sparked in part by a call to action from tennis player Nick Kyrgios, have rallied to raise funds in support of relief and recovery efforts for victims of the country’s bushfire catastrophe.",reuters,sport,center,Non-biased,Entirely factual,['rallied']
"Under current immigration policies, it’s possible that immigration arrests could lead to poor mental health by increasing deportation fears among undocumented individuals and their families and neighbors, the study authors write.",reuters,immigration,center,Biased,No agreement,['poor' 'mental' 'health']
"Less-organized migrants, tighter immigration control by Guatemalan authorities and the presence of U.S. advisers have reduced the likelihood that the hundreds of migrants who departed Honduras will form anything like the cohesive procession the term “caravan” now conjures.",msnbc,immigration,left,Biased,No agreement,['caravan']
U.S. Education Secretary Betsy DeVos is withdrawing protections put in place by former President Barack Obama for students who have mismanaged or are defaulting on their college loans.,breitbart,student-debt,right,Non-biased,Entirely factual,['']
"Trump enjoys and encourages state brutality against people of color, and black people in particular. It excites him and his most ardent followers. But his response isn’t just based on personal predilections. It’s also based on political considerations.",alternet,elections-2020,left,Biased,Expresses writer’s opinion,['brutality' 'encourages' 'excites']
"For the first time the annual risk report, compiled by the World Economic Forum (WEF), found the top five concerns were all environmental, from extreme weather to biodiversity loss and events like oil spills and radioactive contamination.",reuters,environment,center,Non-biased,Entirely factual,['']
"Abortionists, who prey on desperate people, should no longer receive your hard-earned tax dollars.",federalist,abortion,right,Biased,Expresses writer’s opinion,['prey' 'Abortionists']
The Trump administration has continued to deny climate change findings and make scientific reports inaccessible to the public.,msnbc,environment,left,Biased,Entirely factual,['deny']
"As controversies about the “reopening” of America loom over our lives, nothing seems as intrinsically irrelevant — yet possibly as critically important — as how soon major spectator sports return.",alternet,sport,left,Non-biased,Expresses writer’s opinion,['irrelevant']
"In the months that followed, all independent polling has found the American mainstream not only blames Trump and his party for the shutdown, but also does not want to spend billions of taxpayer dollars on an ineffective and unnecessary border wall.",msnbc,immigration,left,Biased,Somewhat factual but also opinionated,['ineffective' 'unnecessary']
Members of the German Green Party have proposed that so-called “climate refugees” should be allowed to move to the country and receive a German passport upon their arrival.,breitbart,environment,right,Non-biased,Entirely factual,['climate' 'refugees' 'so-called']
"Kendrick, who, like many Planned Parenthood supporters, blames men for pro-life legislation while she ignores mention of the life of unborn babies, also drafted a “testicular bill of rights.",breitbart,abortion,right,Biased,Somewhat factual but also opinionated,['blames' 'pro-life']
"Abortion propaganda was always meant to obscure the reality of abortion, not justify it.",federalist,abortion,right,Biased,Expresses writer’s opinion,['obscure' 'propaganda']
"UFC Middleweight Champion Israel Adesanya’s comment that his opponent will ""crumble like the Twin Towers"", in addition to being terrible and inappropriate, also makes no sense. ",breitbart,sport,right,Biased,Expresses writer’s opinion,['terrible' 'inappropriate']
"Yet when researchers in the U.S. have been so corrupt they have gone to jail, mainstream scientists still accept their research.",alternet,vaccines,left,Biased,No agreement,['corrupt' 'mainstream']
"Donald Trump has taken heat for mostly refusing to mask up while performing his duties. This left the Biden camp with a choice to make when Joe woke up from political hibernation, and they went all in.",federalist,elections-2020,right,Biased,Somewhat factual but also opinionated,['political' 'hibernation']
"Omar believes USA Powerlifting is discriminating against males who identify as transgender women, based on the “myth” that they have a “direct competitive advantage” over biological females.",breitbart,sport,right,Biased,No agreement,['myth']
Christians should make clear that the perpetuation of objectionable vaccines and the lack of alternatives is a kind of coercion.,federalist,vaccines,right,Biased,Expresses writer’s opinion,['coercion' 'objectionable']
"Democrats really don’t want to spend billions of taxpayer dollars on a giant, ineffective border wall, so if Trump were try to come up with an offer designed to entice them, he’d have to propose something that would be (a) enormous; and (b) wildly unpopular among Republicans.",msnbc,immigration,left,Biased,Expresses writer’s opinion,['ineffective']
"Appearing Tuesday Cheddar Live, Rep. Maxine Waters (D) formally endorsed former Vice President Joe Biden for the White House, claiming that President Donald Trump is “destroying America” and advocating for the killing of both black and white children in the wake of nationwide protests over the death of George Floyd.",breitbart,elections-2020,right,Non-biased,Somewhat factual but also opinionated,['advocating']
"Before we get to work dispensing these arguments, it’s important to acknowledge that they are, on some level, understandable. A lot of Americans, especially those who got their bachelor’s degree before the early 2000s, find it baffling that younger generations can’t work their way through college.",huffpost,student-debt,left,Biased,Somewhat factual but also opinionated,['baffling']
"In July 2019, Rep. Alexandria Ocasio-Cortez, D-N.Y., and other Democrats visited a similar processing center in Clint, Texas, and made explosive allegations about the conditions there.",fox-news,immigration,right,Biased,Somewhat factual but also opinionated,['explosive' 'allegations']
"New York Attorney General Letitia James said in her complaint, filed in Manhattan federal court earlier this month, that “PHEAA’s abuses have not only denied these dedicated public servants the benefits they have earned, but have undermined the goals of the loan forgiveness program.”",huffpost,student-debt,left,Non-biased,Entirely factual,['']
Sen. Bernie Sanders finished ahead of Joe Biden in the first major national poll of the year that did not find the former vice president leading the pack of potential 2020 Democratic presidential candidates. ,usa-today,elections-2020,center,Non-biased,Entirely factual,['']
"Just because our attention is on the coronavirus, that doesn't mean the elephant in the room — climate change — is going anywhere.",usa-today,environment,center,Biased,Expresses writer’s opinion,['elephant']
"Anti-Vaxxer Rebecca Dalelio, 43, was taken into custody after she tossed a menstrual cup, which she said was filled with blood, from the public gallery as senators finished taking a vote at about 5:14 p.m.",breitbart,vaccines,right,Non-biased,Entirely factual,['Anti-Vaxxer']
"As Breitbart News most recently reported, blue-collar Americans in landscaping, conservation work, the meatpacking industry, construction industry, and fishing jobs have had their wages dragged down by foreign workers imported through the H-2B visa program.",breitbart,immigration,right,Biased,Expresses writer’s opinion,['dragged' 'down']
"In August, Planned Parenthood made the decision to opt out of the federal family planning grant program, portraying itself as a victim of the Trump administration.",breitbart,abortion,right,Biased,Somewhat factual but also opinionated,['portraying' 'victim' 'itself']
"Military ships and aircraft have been deployed to coastal communities in southeastern Australia cut off by raging wildfires that have raced towards the coast, trapping thousands as the death toll from the apocalyptic blazes continues to grow.",fox-news,environment,right,Non-biased,Entirely factual,['apocalyptic' 'raging']
State health departments and legislators who sneer at parental concerns and call for vaccination mandates erode parents’ trust.,federalist,vaccines,right,Biased,Expresses writer’s opinion,['sneer' 'erode']
The player vote ending Thursday at midnight—a simple majority vote will determine the outcome of the NFL CBA—is a monumental referendum for the next decade of the NFL.,msnbc,sport,left,Non-biased,Somewhat factual but also opinionated,['monumental']
"Cuban slave doctors that have escaped the system have said that, while working abroad, the Castro regime forced them to invent patients and throw away perfectly good medicine to boost the statistics on the number of patients Cuban doctors actually treat.",breitbart,vaccines,right,Biased,Somewhat factual but also opinionated,['slave' 'escaped' 'perfectly' 'good']
British Olympic swimmer Sharron Davies also slammed the concept of transgender athletes.,breitbart,sport,right,Biased,Entirely factual,['slammed']
"Biden’s appearance was a contrast with the approach of Republican President Donald Trump, who has made no major public statement to address the growing crisis but issued tweets as he remained out of sight in the White House.",reuters,elections-2020,center,Biased,Expresses writer’s opinion,['contrast']
"Bryce Harper, who signed the richest free-agent contract in baseball history, a cool $330 million, was being unveiled for the first time in a Phillies uniform.",usa-today,sport,center,Non-biased,Entirely factual,['cool']
"After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ",usa-today,abortion,center,Non-biased,Entirely factual,['']
"Thousands of Australians took to the streets on Friday to protest against government inaction on climate change, as bushfires ravaged tens of thousands of square miles of bushland after months of destruction and at least 27 deaths.",reuters,environment,center,Non-biased,Entirely factual,['ravaged']
Sen. Josh Hawley (R-MO) introduced two bills on Tuesday to target the “monopolies” higher education institutions have created to make earning degrees involve accumulating massive student debt.,breitbart,student-debt,right,Biased,Somewhat factual but also opinionated,['massive' 'monopolies']
"Hillary Clinton tells this story to struggling students. She told it to minority students in Mississippi in November 2015,  and she recently told it again to minority students in Brooklyn.",alternet,student-debt,left,Non-biased,Entirely factual,['struggling']
The Trump Administration hasn’t built a single foot of border fencing after thirty months of riling up its supporters with claims that the wall was vital to national security.,alternet,immigration,left,Biased,Expresses writer’s opinion,['riling' 'single' 'up']
"As part of his plan to protect the commonwealth of Virginia from the spread of the Wuhan coronavirus, Gov. Ralph Northam determined that citizens should not be allowed to attend church or worship services, but are fine travel to an abortion clinic and undergo an elective procedure like surgical abortion.",federalist,abortion,right,Biased,Somewhat factual but also opinionated,['fine' 'Wuhan']
"Countless American believers in the Bible, myself included, were inspired tremendously on Monday when President Trump stood in front of St. John’s Episcopal Church, across the street from the White House, and held up the Word of God for all to see.",breitbart,elections-2020,right,Biased,Expresses writer’s opinion,['included' 'tremendously' 'inspired' 'Word' 'of' 'God']
U.S. President Donald Trump said on Thursday he was likely to declare a national emergency to secure funds for his long-sought wall along the U.S. southern border if he cannot reach an agreement with Congress to provide the money.,reuters,immigration,center,Non-biased,Entirely factual,['long-sought']
But the announcement Monday further clarifies that YouTube will take down any election-related videos that are technically altered to mislead people in a way that goes beyond simply taking clips of speech out of context.,usa-today,elections-2020,center,Non-biased,Entirely factual,['']
"Poll workers and technicians reported issues with the new machines at more than 40% of polling locations in Philadelphia during last November’s election, according to the records reviewed by Reuters. Problems included touchscreens that were hypersensitive or that froze; paper voting receipts getting jammed in the machines; and panels opening on some machines to expose the equipment’s electronic controls, the records show.",reuters,elections-2020,center,Non-biased,Entirely factual,['']
"The University of Southern California (USC) has fired two employees who allegedly accepted enormous bribes in exchange for facilitating the acceptance of dozens of students, the school has said in an official statement.",fox-news,sport,right,Non-biased,Entirely factual,['enormous']
"To bolster the argument that doctors deliver viable infants alive and let them die, the anti-choice movement also trots out a series of people who claim to have “survived” abortion. ",alternet,abortion,left,Biased,Somewhat factual but also opinionated,['trots' 'anti-choice' 'survived']
"Shelby Steele, a senior fellow at Stanford University’s Hoover Institution said Friday that the contemporary civil rights movement under the banner of “Black Lives Matter” was deeply unserious, catering to an old form of victimization that has accomplished nothing to lift up black people.",federalist,elections-2020,right,Biased,Expresses writer’s opinion,['deeply' 'unserious' 'accomplished' 'nothing' 'victimization']
"In Francis, Thunberg has found a kindered spirit. The Jesuit pope has made fighting climate change and caring for God's creation a pillar of his papacy.",fox-news,environment,right,Non-biased,No agreement,['kindered']
"Vaccine critics, for example, have long championed the false claim that vaccines cause autism, and that the Centers for Disease Control and Prevention has tried to cover up that information, Gorski said. ",alternet,vaccines,left,Biased,Entirely factual,['false' 'claim' 'cover' 'up' 'championed']
"Having a baby is hard, caring for a baby is hard, going back to work after a leave is hard but a few weeks of salary is not worth killing your baby for.",federalist,abortion,right,Biased,Expresses writer’s opinion,['killing' 'your' 'baby']
President Donald Trump on Friday announced that he has waived interest payments on all federal student loans to help alleviate financial strain as the United States combats the spread of the coronavirus.,breitbart,student-debt,right,Non-biased,Entirely factual,['']
"Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated, Dart told WBBM-TV.",usa-today,vaccines,center,Non-biased,Entirely factual,['']
"After that phone call, police asked the couple to come in for questioning, prompting them to flee Saudi Arabia, a country long known for draconian laws against homosexuality.",fox-news,immigration,right,Biased,Somewhat factual but also opinionated,['draconian']
"Sen. Bernie Sanders leads the Democratic field three weeks ahead of Caucus Day in Iowa – narrowly overtaking his closest competitors, who remain locked in a tight contest just behind him.",usa-today,elections-2020,center,Non-biased,Entirely factual,['overtaking' 'tight' 'locked']
"The Pro Football Hall of Fame's Centennial class of 2020 is set, and among the 15 honorees selected was former NFL commissioner Paul Tagliabue, who helped lead the league to new heights during his tenure from 1989-2006.",usa-today,sport,center,Non-biased,Entirely factual,['new' 'heights']
Drivers in Ireland will be forced to buy electric vehicles within ten years according to a new law by the left-wing government in Dublin.,breitbart,environment,right,Biased,Somewhat factual but also opinionated,['forced' 'left-wing']
"Wimbledon champion Navratilova, who has campaigned for gay rights and suffered abuse when she came out in the 1980s, argued trans women have unfair physical advantages.",huffpost,sport,left,Non-biased,Entirely factual,['suffered' 'abuse' 'argued']
Lots of politicians and critics across the board have attacked the Green New Deal proposed last week by freshman Democrats Rep. Alexandria Ocasio-Cortez of New York and Sen. Ed Markey of Massachusetts.,alternet,environment,left,Biased,Entirely factual,['attacked']
"In the dominant political fight in D.C., Donald Trump wants a giant wall along the U.S./Mexico border.",msnbc,immigration,left,Biased,Somewhat factual but also opinionated,['dominant' 'giant']
"Tens of millions of children under 12 months are potentially at risk for diseases such as diphtheria and polio as the Chinese coronavirus pandemic interrupts routine vaccinations, according to data published by global public health experts on Friday.",breitbart,vaccines,right,Non-biased,Entirely factual,['']
The former administration presented itself as a protector of students against mistreatment by student loan companies that were seeking to collect debts owed and were accused of abusing student borrowers to pad their own profits,breitbart,student-debt,right,Non-biased,No agreement,['protector' 'mistreatment' 'abusing']
"While President Donald Trump’s impeachment trial had been wrapping up, he expanded one of his most controversial and inflammatory policies with little fanfare and minimal opposition: the travel ban on people from multiple Muslim-majority countries.",alternet,immigration,left,Biased,Somewhat factual but also opinionated,['controversial' 'inflammatory']
A push by Virginia Democrats to loosen restrictions on late-term abortions is erupting into a fierce partisan clash as video of a legislative hearing goes viral.,usa-today,abortion,center,Biased,No agreement,['erupting' 'fierce' 'clash']
Athletes awoke to news that several water polo players had been injured in a terrifying accident in the early hours of Saturday morning when the second floor of a nightclub came down on the heads of revelers below.,reuters,sport,center,Non-biased,Entirely factual,['terrifying']
"Trump said he will visit the U.S.-Mexican border Thursday to promote his plan for a wall to keep out undocumented immigrants, the sticking point in negotiations with Democrats to reopen the government.",usa-today,immigration,center,Non-biased,Entirely factual,['']
"And most egregiously, in what will surely be viewed as one of the most ill-advised stunts in presidential history, the Trump Administration had federal security forces use tear gas and projectiles to vacate Lafayette square by force of arms so Trump could make a show of walking over to St. John’s Church and posing awkwardly with a bible held upside down.",alternet,elections-2020,left,Biased,Somewhat factual but also opinionated,['egregiously' 'ill-advised' 'stunts' 'awkwardly' 'show']
"Franciscan friar Father Daniel Horan, a pro-LGBT priest and professor who will be speaking at the upcoming Los Angeles Religious Education Congress, took to Twitter this weekend to bash the March for Life and condemn without trial a group of white Catholic high school boys as “racists” for supposedly “taunting” a Native American man beating a drum.",breitbart,abortion,right,Biased,Somewhat factual but also opinionated,['bash' 'racists' 'taunting' 'pro-LGBT' 'condemn']
"Given these bleak prospects, students who go to college to “find themselves” are likely to waste precious time and money because they lack a clear vision. ",federalist,student-debt,right,Biased,Expresses writer’s opinion,['bleak' 'precious' 'time' 'money' 'clear' 'vision' 'waste' 'lack']
"People keep getting sick and the economy is cratering, but for Republicans, hating women is still a major priority: republican governors in Texas, Ohio and even Maryland are trying to use the coronavirus crisis as an excuse to block women from getting abortions, claiming that ending a pregnancy is a “nonessential” medical procedure that must be rescheduled.",alternet,abortion,left,Biased,Somewhat factual but also opinionated,['cratering' 'hating' 'women' 'excuse' 'nonessential']
The Times’ about-face was just one example of a little Orwellian campaign that’s sprung up in the liberal media since the Disneyland measles outbreak to try to rewrite history by shoehorning vaccine opposition into the shopworn trope that it is conservatives who are “anti-science.”,federalist,vaccines,right,Biased,Expresses writer’s opinion,"['Orwellian' 'campaign' 'liberal' 'media' 'rewrite' 'shoehorning'
 'anti-science' 'about-face' 'history' 'shopworn']"
It wasn't long after Donald Trump and his team took office that they looked for ways to make things easier for polluters.,msnbc,environment,left,Biased,Expresses writer’s opinion,['easier' 'for' 'polluters']
We should expect growing support for this item for a few reasons: Younger voters of all political stripes are being exposed to the status quo student loan system. Younger voters are also less likely to accept the toxic brand of “conservatism.” ,alternet,student-debt,left,Biased,Expresses writer’s opinion,['toxic' 'brand' 'conservatism']
"But the top risk by likelihood highlighted in the annual Global Risks Report was extreme weather, in a survey of 1,000 experts from government, business, academia and non-governmental organizations.",reuters,environment,center,Non-biased,Entirely factual,['extreme']
The man behind a petition drive to recall a California state senator and physician pushing for tougher vaccine requirements was charged on Wednesday with assault after livestreaming himself shoving the lawmaker in a sidewalk confrontation in Sacramento.,reuters,vaccines,center,Non-biased,Entirely factual,['']
"President Donald Trump bragged on Sunday that the Republican Party has never been stronger or more united than it is now, even as his impeachment trial is set to begin in the Senate this week. ",huffpost,elections-2020,left,Biased,Somewhat factual but also opinionated,['bragged']
BBC Presenter Gabby Logan has said that it is not fair that transgender women can compete in sport alongside biologically female women.,breitbart,sport,right,Non-biased,Entirely factual,['fair' 'female']
"Rep. Alexandria Ocasio-Cortez (D-NY) has been an avid supporter of the “Green New Deal,” a plan that would take dramatic steps to curb the United States’ contribution to global climate change. ",alternet,environment,left,Non-biased,Entirely factual,['avid' 'dramatic']
"If sports don’t trump religion as the opiate of the masses, they have, until recently, been at least the background music of most of our lives.",alternet,sport,left,Biased,Expresses writer’s opinion,['background' 'music' 'trump' 'opiate' 'masses']
"A humanitarian ship that has had about 230 rescued migrants on board for almost a week will enter a Maltese port on Wednesday, ending a standoff with Italy which refused to let the ship dock.",reuters,immigration,center,Non-biased,Entirely factual,['standoff']
The ACLU and other groups sued last year in San Francisco federal court on behalf of 11 migrants challenging the asylum policy.,msnbc,immigration,left,Non-biased,Entirely factual,['']
"Even pro-life leaders have expressed their approval of using vaccines produced with fetal cell lines, in cases with no alternative.",federalist,vaccines,right,Non-biased,Entirely factual,['pro-life']
No amount of denial from pro-choicers can change the fact that many post-abortive mothers carry the grief of a severed parent-child bond with them.,federalist,abortion,right,Biased,Expresses writer’s opinion,['pro-choicers' 'grief' 'severed' 'parent-child' 'bond' 'post-abortive']
Tensions between Trump and the messaging platform escalated last week after Twitter began to label some of his tweets with a fact-check. Trump responded with an executive order that threatens to curtail some legal protections enjoyed by social media companies.,reuters,elections-2020,center,Non-biased,Entirely factual,['threatens']
"Measles is so contagious that 90 percent of unvaccinated people who come in contact with an infected person will get the virus, according to the Centers for Disease Control and Prevention.",usa-today,vaccines,center,Non-biased,Entirely factual,['contagious']
"A federal judge in Tucson, Arizona delivered a blow Monday to the Trump administration’s strategy of criminalizing humanitarian aid work along the southern border with her decision to overturn the convictions of four volunteers on religious freedom grounds.",alternet,immigration,left,Biased,Expresses writer’s opinion,['blow' 'criminalizing']
"Former ESPN personality Jemele Hill attacked the NFL for its lack of black coaches, and blasted the Rooney Rule as an insufficient solution to the problem.",breitbart,sport,right,Biased,Expresses writer’s opinion,['blasted' 'attacked']
A leader of a movement that urges women to brag about having an abortion promoted the procedure to children in a video from Cut’s HiHo on the YouTube channel.,breitbart,abortion,right,Biased,No agreement,['brag']
"Australian Prime Minister Scott Morrison defended his leadership and his government's record on climate change Sunday as milder temperatures brought hope of a respite from wildfires that have ravaged three states, claiming 24 lives and destroying almost 2,000 homes.",msnbc,environment,left,Non-biased,Entirely factual,['ravaged' 'defended']
"In fact, the scenario of killing babies after they're born that Trump depicted was ridiculously false.",msnbc,abortion,left,Biased,Expresses writer’s opinion,['ridiculously']
"Hungarian Prime Minister Viktor Orban, a staunch anti-immigrant populist, said on Wednesday a new wave of migrants trying to cross the border from Turkey into the European Union must be stopped as far south as possible and his government was ready to help frontline Greece.",reuters,immigration,center,Biased,Somewhat factual but also opinionated,['staunch' 'populist' 'anti-immigrant']
"What we learn from those places is that people who know they don’t have police protection will seek protection from whomever wields power, which is why even now you see businessowners whose stores have been looted and burned out expressing supporter for BLM and the ongoing protests.",federalist,elections-2020,right,Non-biased,Expresses writer’s opinion,['wields']
"Opposition Labour Party leader Jeremy Corbyn said on Thursday he would look at ways to help those who have already incurred large debts from university tuition fees, and would not sell off student loans to private companies.",reuters,student-debt,center,Non-biased,Entirely factual,['incurred']
"House Speaker Nancy Pelosi (D-CA) on Monday waxed hyperbolic about the 2020 presidential election, telling an audience that “civilization as we know it is at stake.”",breitbart,elections-2020,right,Biased,Somewhat factual but also opinionated,['waxed' 'hyperbolic']
Obama’s joke about moat with alligators came to mind while reading a newly published report from the New York Times on Donald Trump’s zealotry on border policy.,msnbc,immigration,left,Biased,Expresses writer’s opinion,['zealotry']
De Niro's Tribeca Festival Yanks Anti-Vaccination Film...,msnbc,vaccines,left,Non-biased,Entirely factual,['Yanks']
"The over-the-top, theatrical lies of the anti-choice movement are so comical that the mainstream media, for decades, has shied away from covering them too closely, likely out of fear that they’re actually too ridiculous to be believed.",alternet,abortion,left,Biased,Expresses writer’s opinion,['comical' 'theatrical' 'lies' 'anti-choice' 'ridiculous']
USA Gymnastics will join USA Swimming and USA Track & Field in asking that the U.S. Olympic and Paralympic Committee lobby for a postponement of the Tokyo Games.,usa-today,sport,center,Non-biased,Entirely factual,['']
"However, China’s record of successfully producing vaccines in recent years has been so abysmal that communist state media openly admit that they prefer using international manufacturers.",breitbart,vaccines,right,Biased,Somewhat factual but also opinionated,['abysmal']
"As Congress begins debating the Equality Act, the Heritage Foundation warns that if the bill becomes law it will prove the death knell for women’s sports.",breitbart,sport,right,Non-biased,Entirely factual,['knell' 'death']
"Alabama has the most restrictive abortion law in the U.S., banning abortion at any stage of pregnancy and for any reason, including in cases of rape and incest.",usa-today,abortion,center,Non-biased,Entirely factual,['']
Lawmakers who claim to care about women’s emotional health would do better to listen to the hundreds of thousands of women who seek abortion care every year and know it is the right decision.,alternet,abortion,left,Biased,Expresses writer’s opinion,['better' 'claim' 'to' 'care' 'do']
"John Oliver admits he's scared of ""literally everything,"" but perhaps nothing more than parents-turned-activists seemingly hellbent on unleasing a new plague.",alternet,vaccines,left,Biased,Expresses writer’s opinion,['unleasing' 'hellbent']
